Price,Close,High,Low,Open,Volume
Ticker,6861.T,6861.T,6861.T,6861.T,6861.T
Date,,,,,
2022-01-01,57213.87109375,72679.2039293266,55042.436178462565,71018.69487645973,13409500
2022-02-01,52841.52734375,62018.542319403125,50503.05885959,59178.97344578026,13851200
2022-03-01,56250.96875,57793.57173580786,49304.342565502186,53578.433640829695,14901900
2022-04-01,52027.21484375,58524.46400115303,48168.24261692881,56142.13931010525,11426700
2022-05-01,50786.83203125,53996.07941294945,47695.71645501187,53996.07941294945,14105000
2022-06-01,45657.94140625,51544.84286397693,44181.2938834088,49812.243103843255,14627600
2022-07-01,51613.75,55551.47649246614,44575.06389471676,45776.07047491894,13380300
2022-08-01,52017.37109375,56880.46369789695,50796.67578420704,51977.99382570023,11733300
2022-09-01,47154.27734375,54567.04787398878,47105.05575988387,51574.375574928235,11833000
2022-10-01,55603.40234375,56274.750241366295,46638.93335793235,46678.42441073331,14453100
2022-11-01,56412.96484375,60658.25271263563,54912.30494591135,56373.47379380687,11661900
2022-12-01,50765.74609375,58239.42750039503,49916.688496693896,58239.42750039503,9813200
2023-01-01,58525.73828125,59749.960876876685,49314.45052544597,50765.74666703567,9342100
2023-02-01,58140.69921875,61309.85602792282,56185.89221496115,59197.084821807606,8369200
2023-03-01,63629.9609375,63985.38042450543,56886.86344792475,57884.01256424554,12611200
2023-04-01,60475.6015625,63722.08230104337,58684.09847202332,63603.3086154869,11348900
2023-05-01,67107.140625,69571.69490459071,61594.061373064156,61821.71096515487,12075300
2023-06-01,67156.625,71155.33929624171,65642.2604274134,67216.01184598378,14652700
2023-07-01,63108.421875,68928.33280073715,62435.370951615434,68275.07749274623,11075700
2023-08-01,59901.53515625,62573.94336712037,57912.07571037984,62356.19158697539,14284200
2023-09-01,54932.83203125,60386.52400408221,53764.890737612615,59861.9402027027,14196400
2023-10-01,57702.953125,58546.418475924336,51679.6182072227,55867.17559651763,14848000
2023-11-01,62862.98046875,64182.75574930939,58615.88407717542,59171.57893214779,12598600
2023-12-01,61642.43359375,63041.593789615865,59330.34617788655,62456.12959418263,9508400
