Price,Close,High,Low,Open,Volume
Ticker,4063.T,4063.T,4063.T,4063.T,4063.T
Date,,,,,
2013-06-03,1022.1558227539062,1048.1566067985207,1018.9057247483294,1046.5315577957322,8122500
2013-06-04,1035.156005859375,1041.656200558649,1009.1552270622793,1023.7806651356457,9687000
2013-06-05,1017.2807006835938,1048.156632493479,1014.0306025983426,1044.906534408228,10879500
2013-06-06,1007.5304565429688,1033.5312425182713,991.2799653084048,1002.6553091725996,9505500
2013-06-07,1007.5304565429688,1027.0310460244457,984.7797688145791,1002.6553091725996,13146500
2013-06-10,1048.1563720703125,1049.7814207091812,1020.5305452095446,1040.031128875969,7159500
2013-06-11,1044.9063720703125,1057.9067623915605,1025.4057865884404,1038.4061769096884,7536500
2013-06-12,1041.6563720703125,1049.7816167822496,1022.155784761664,1028.6559805312136,6094000
2013-06-13,966.9041137695312,1014.030532759979,962.028966977416,1012.405483829274,9959000
2013-06-14,996.1552734375,1020.5310142230833,994.5302240517946,1014.0308166802611,17421000
2013-06-17,1035.156005859375,1035.156005859375,979.9043509155465,986.4045456148204,5903500
2013-06-18,1031.90625,1041.6565452755906,1022.1559547244095,1028.6561515748033,4446000
2013-06-19,1038.40625,1056.2817879499219,1027.0309076682315,1053.031690140845,8577000
2013-06-20,1009.1554565429688,1036.781290296963,1009.1554565429688,1020.530799853437,9606500
2013-06-21,1014.0308227539062,1020.531020335662,979.9047854496882,983.154884240566,10697500
2013-06-24,1001.0302124023438,1033.5311933244977,996.1550652640207,1025.4059480939593,6160500
2013-06-25,989.6550903320312,1010.7807326543898,976.6546950567335,1004.280535016741,10024500
2013-06-26,1010.7803344726562,1028.6558709343913,997.7799443186672,1010.7803344726562,9106000
2013-06-27,1043.2816162109375,1044.906665457372,1025.4060745001582,1027.0311237465928,7587000
2013-06-28,1069.2822265625,1077.4074714451938,1051.4066878205738,1056.28183475019,10126500
2013-07-01,1072.5325927734375,1075.7826915394176,1048.1568520285866,1067.6574446244672,8004000
2013-07-02,1085.53271484375,1095.283008689652,1074.157372023531,1093.657959715335,7075500
2013-07-03,1088.7828369140625,1090.407885924382,1075.7824448315066,1088.7828369140625,6508000
2013-07-04,1096.9083251953125,1096.9083251953125,1080.6578314887154,1082.282880859375,3214500
2013-07-05,1121.28369140625,1121.28369140625,1100.1580566406249,1100.1580566406249,4931500
2013-07-08,1100.1583251953125,1144.0346542651405,1100.1583251953125,1137.5344573659067,6555500
2013-07-09,1126.15869140625,1127.7837400229978,1105.033059388528,1111.5332538555194,6010500
2013-07-10,1121.28369140625,1131.033984375,1111.5333984375,1127.78388671875,4441500
2013-07-11,1118.0335693359375,1124.5337645064953,1105.033178994822,1122.9087157138558,5751500
2013-07-12,1124.533935546875,1135.9092788255284,1114.7836413080292,1114.7836413080292,8425500
2013-07-16,1135.9093017578125,1142.409498048272,1131.0341545399679,1135.9093017578125,7684000
2013-07-17,1132.6591796875,1137.5343268023673,1121.2838364194763,1124.5339344960546,5600500
2013-07-18,1148.9097900390625,1150.5348392470387,1131.034248751326,1132.6592979593022,20311500
2013-07-19,1121.28369140625,1153.78466796875,1113.158447265625,1150.5345703125,9053000
2013-07-22,1119.6588134765625,1132.6592060858695,1106.6584208672557,1129.4091079335428,5573500
2013-07-23,1131.0340576171875,1134.2841554839035,1109.9084214835332,1113.1585193502492,4474000
2013-07-24,1124.533935546875,1126.1589845866827,1109.9084941886065,1122.9088865070676,6885000
2013-07-25,1079.0323486328125,1131.0339076030684,1067.6570076080689,1122.908664013966,17481000
2013-07-26,1075.7823486328125,1095.2829350128634,1074.1572997678084,1093.6578861478592,11251000
2013-07-29,1009.1554565429688,1038.4063393413157,1007.5304074986161,1027.0309960308475,11999500
2013-07-30,1001.0302124023438,1018.9057519095285,997.7801143101284,1005.9053595406668,9735500
2013-07-31,994.530029296875,1001.0302255667891,979.904587689568,992.9049802293964,8963000
2013-08-01,1028.656005859375,1040.031348736177,1012.4055160353722,1036.7812507713763,11968000
2013-08-02,1062.7818603515625,1064.4069090676965,1036.7810808934203,1056.2816654870269,7453000
2013-08-05,1044.9063720703125,1051.4065672309364,1031.9059817490643,1051.4065672309364,5142000
2013-08-06,1061.1571044921875,1061.1571044921875,1031.9062195291563,1046.5316620106719,6811000
2013-08-07,1017.2807006835938,1043.2814853656025,1015.6556516409681,1033.5311911098493,8308500
2013-08-08,1010.7803344726562,1038.406163549883,1007.530236934159,1010.7803344726562,6153500
2013-08-09,1012.405517578125,1023.7808604722612,1007.5303706234952,1010.7804685932484,7663500
2013-08-12,1015.6555786132812,1023.7808232421875,1002.6551872070312,1005.9052850585937,3928000
2013-08-13,1035.156005859375,1036.7810545341936,1018.9055191111902,1028.6558111601012,4315500
2013-08-14,1038.40625,1038.40625,1020.5307120500783,1033.531103286385,4651500
2013-08-15,1014.0308227539062,1033.5314154991736,1009.1556745675894,1022.156069731101,5113500
2013-08-16,1001.0302124023438,1007.5304085867746,994.5300162179129,996.1550652640207,3878500
2013-08-19,1002.6550903320312,1004.2801391008028,991.2797489506306,999.4049927944883,3728000
2013-08-20,983.1547241210938,1005.9054119519951,983.1547241210938,992.9050189057658,6797000
2013-08-21,975.029541015625,988.0299348958333,970.1543933105469,983.1547871907552,7246000
2013-08-22,976.654541015625,983.1547376280417,968.5292952501039,975.0294918625208,4941500
2013-08-23,988.0300903320312,996.1553377854196,983.1549418599982,984.7799913506758,7984000
2013-08-26,976.654541015625,994.5300816997711,973.4044427094166,989.6549342404586,4943000
2013-08-27,970.1543579101562,981.5297021402586,966.9042595586984,970.1543579101562,5463000
2013-08-28,955.52880859375,958.7789065821642,937.6532696574724,942.5284166400935,7318000
2013-08-29,981.5296020507812,984.7797000708171,955.5288178904957,955.5288178904957,6808500
2013-08-30,963.6542358398438,996.1552218715417,958.7790879350891,991.2800739667871,7225000
2013-09-02,963.6542358398438,970.1544330461834,955.5289893319193,965.2792851414287,4197000
