Date,Close,High,Low,Open,Volume,RSI_month_end,momentum_3m
2017-07-31,24829.068359375,25077.261712242136,24751.20377808335,25043.195957927037,555000,60.22306385689657,0.13883932386761377
2017-08-31,27865.787109375,28391.373034595483,27821.98828227329,28167.512362742313,824600,79.28728202978388,0.13814357443863368
2017-09-29,29102.095703125,29160.543426712866,28965.71768141998,29024.165405007847,802600,57.04050834982322,0.21200686357485865
2017-10-31,30602.25390625,30913.975098355684,30241.826277877808,30816.562225822658,1136200,80.09725227290203,0.2325172037594858
2017-11-30,31615.34375,31698.144681096903,30889.61794215067,31659.179537051303,1626800,33.95818835665192,0.13455771501833946
2017-12-29,30743.498046875,31430.258697161655,30714.27418941599,31342.587124784637,369600,47.004584734429734,0.056401516938649365
2018-01-31,32355.677734375,32871.96583310204,32238.78231579529,32521.27957736292,785200,51.869509792412096,0.05729721194708781
2018-02-28,31790.69140625,32472.581523742723,31785.820762553623,32389.78058090432,751000,49.278873033071015,0.005546283400761798
2018-03-30,32189.6171875,32291.9766606886,32004.39528363492,32262.73109692043,478800,55.095016437845445,0.04703821075988435
2018-04-30,32642.921875,32642.921875,32642.921875,32642.921875,0,78.22495973336146,0.008877704339347758
2018-05-31,32574.6796875,32720.907487982568,31999.5170056019,32170.116106164896,766200,36.98171258455936,0.02466093836184613
2018-06-29,30493.37890625,31049.044698339592,30244.79157820992,31049.044698339592,725000,32.140127519622666,-0.05269519893230323
2018-07-31,28714.271484375,28821.505226126188,28100.114599800014,28524.175305816076,709600,45.745828271057,-0.12035228971441458
2018-08-31,30654.23046875,30722.470129516816,30313.032164915927,30317.90642639927,545400,69.57681352381901,-0.05895527560588543
2018-09-28,32212.318359375,32212.318359375,31519.055369524856,31577.640974300924,1291400,81.36446731649154,0.05637090787510868
2018-10-31,26998.201171875,26998.201171875,25826.489005283678,26363.523748304702,1143800,41.82843609897627,-0.05976367234090574
2018-11-30,30073.9453125,30298.52347554789,29824.9564795556,30025.12397270698,1337000,55.705659887744126,-0.018930018707909224
2018-12-31,27183.7265625,27183.7265625,27183.7265625,27183.7265625,0,48.980904379201206,-0.15610772688801178
2019-01-31,27271.6015625,27291.130099243645,26807.798814838436,27242.308757384533,727600,66.51786611254161,0.010126615061666122
2019-02-28,31699.69921875,32109.798515588904,31675.288546319112,31831.51684987679,918200,60.32484027165421,0.054058550993449694
2019-03-29,33722.73828125,33903.649012931346,33517.3801533955,33791.19099053484,956600,61.68711864156567,0.24054876007215942
2019-04-26,33796.08203125,33869.424223158094,33321.80252357766,33492.934304696544,1099600,36.569309044251796,0.23924082543511238
2019-05-31,30075.185546875,30451.675432602424,30075.185546875,30402.780642248214,841000,28.27171519578853,-0.051246974321892624
2019-06-28,32334.125,32348.79343716921,31938.07719643127,32187.44062830788,628600,59.41642220245946,-0.04117735842412518
2019-07-31,30867.28515625,31160.653936445626,30661.92701011306,30852.616717240217,708000,43.906836677838214,-0.08666084051671574
2019-08-30,30754.82421875,30789.050573206478,30280.544735567368,30304.99213160771,800400,66.04946643067544,0.022597987660482488
2019-09-30,32759.458984375,32965.123749299324,32568.484559802408,32734.97508378877,539600,71.17550764347584,0.013154337232722302
2019-10-31,33699.640625,33699.640625,33112.027013404535,33200.16905514385,847200,73.99344726760434,0.09175913768938981
2019-11-29,36667.08203125,37039.23724417401,36539.76577419705,36921.7145453559,289300,57.67114590470446,0.19223838739730237
2019-12-30,37695.41015625,37901.074903789944,37450.5711710834,37724.79083446999,293200,42.03239510830917,0.15067254847612888
