Date,momentum_3m,RSI_month_end,actual,predicted
2024-09-30,-0.1449112147874959,50.262757453203236,True,True
2024-10-31,-0.053455836750784,67.45762711864407,True,True
2024-11-29,0.1929048797397854,55.62015503875969,True,True
2024-12-30,0.2700378396972824,57.35294117647059,True,True
2025-01-31,0.2149217070924163,65.2439024390244,False,True
2025-02-28,0.0619419642857141,48.49445324881141,True,True
2025-03-31,0.0893824485373782,57.39837398373984,False,True
2025-04-30,-0.0884508466009603,71.01710171017102,True,True
2025-05-30,0.0643720441408302,80.1948051948052,False,True
2025-06-06,-0.0238687220288413,48.631578947368425,False,True
