Date,momentum_3m,RSI_month_end,actual,predicted
2024-09-30,-0.1472752419099505,50.085212397724504,False,True
2024-10-31,-0.1846251464417083,25.176835231296067,False,True
2024-11-29,-0.1646956108280293,21.23613510799774,True,True
2024-12-30,-0.0880099500472549,54.61424010646808,False,True
2025-01-31,-0.0877354922755365,44.81409124978843,True,True
2025-02-28,0.0161354440865091,54.39092968828387,False,True
2025-03-31,-0.0883021537642844,14.780263991371484,False,False
2025-04-30,-0.0925775535485213,73.35146159075458,False,True
2025-05-30,-0.1539367784019742,57.31559854897219,False,True
2025-06-06,-0.0971589676859683,50.079239302694134,False,True
