Date,momentum_3m,RSI_month_end,actual,predicted
2024-09-30,0.0217327452213802,62.56933944251942,False,True
2024-10-31,0.0100135626803981,34.67862853212252,True,True
2024-11-29,0.0625336237153795,53.418816159099315,True,True
2024-12-30,0.2129613326022266,52.388306936137575,True,True
2025-01-31,0.2630806022807925,65.84235316371891,True,True
2025-02-28,0.2434319540113865,61.6596641086182,True,True
2025-03-31,0.1204434740007642,72.3323854939504,True,True
2025-04-30,0.0990667548234081,71.78477690288713,True,True
2025-05-30,0.0216344202479192,59.44540727902947,True,True
2025-06-06,0.0180610889774235,62.08017334777898,False,True
