Price,Close,High,Low,Open,Volume
Ticker,7203.T,7203.T,7203.T,7203.T,7203.T
Date,,,,,
2013-06-03,823.7466430664062,845.0137681025442,816.6576013876937,837.9247264238315,87659000
2013-06-04,840.76025390625,846.4314866476075,786.8835428633537,809.5684738287837,128663500
2013-06-05,812.40380859375,847.8490009407723,809.5681932059882,835.0887316958443,96100000
2013-06-06,799.6438598632812,816.6575590093084,788.3013937659297,798.2260516011122,116089500
2013-06-07,776.9588623046875,795.3903681622804,759.9451645899863,785.4657111620381,132179000
2013-06-10,843.5958862304688,843.5958862304688,810.9862973509717,812.4041055631237,85132500
2013-06-11,846.4314575195312,856.3561144753717,830.8355680174964,843.595841246434,94835000
2013-06-12,830.8355102539062,835.0889343678341,815.2396218361708,822.3286620260506,85567000
2013-06-13,792.5546264648438,813.8217452429701,781.2121631165096,809.5683214873449,109927000
2013-06-14,792.5546264648438,816.6573610800536,792.5546264648438,805.3148977317196,112278500
2013-06-17,808.1505737304688,810.9861897786458,781.2122212727865,786.8834533691405,66110500
2013-06-18,822.3287963867188,825.1644129259834,809.5685219600283,815.2397550385574,53825000
2013-06-19,832.2532348632812,837.9244664466767,825.1641953840369,835.088850654979,48004000
2013-06-20,823.7466430664062,836.506918088089,820.9110263949212,832.2534930808614,59259500
2013-06-21,828.0,832.2534246575342,798.2260273972602,799.6438356164383,75078500
2013-06-24,815.2396240234375,840.7601687754756,812.4040079398777,837.9245526919158,51409000
2013-06-25,803.8972778320312,820.9109768337673,796.8082365813078,813.8219355830439,70101500
2013-06-26,808.1505737304688,818.0752298990885,803.897149658203,815.2396138509114,54861000
2013-06-27,836.506591796875,836.506591796875,813.8216672735699,816.6572828389831,56867500
2013-06-28,849.2670288085938,857.7738771772941,845.0136046242435,846.4314126856935,79373000
2013-07-01,859.1917724609375,862.0273888716997,845.0136904071267,860.6095806663186,47096000
2013-07-02,883.29443359375,883.29443359375,866.2807366384932,870.5341608773074,57981500
2013-07-03,883.29443359375,891.8012820713784,877.6232012753311,888.965665912169,63519000
2013-07-04,876.2054443359375,884.7122933100729,874.7876361735816,879.0410606606494,31572000
2013-07-05,894.636962890625,896.0547710727021,879.0410728877773,883.2944974340086,60870000
2013-07-08,886.1301879882812,908.8151208007813,884.7123796875001,907.3973125,58061500
2013-07-09,908.81494140625,911.6505574480792,893.2190531761896,898.8902852598479,54866000
2013-07-10,905.979248046875,913.0682875464593,896.0545927474569,904.561440146958,53343000
2013-07-11,904.5615844726562,905.9793925987889,891.801311337462,893.2191194635947,48196500
2013-07-12,908.81494140625,917.3217895317376,900.3080932807626,901.7259013016771,48619500
2013-07-16,915.9041137695312,918.7397302208301,911.6506890925829,915.9041137695312,53866500
2013-07-17,921.5753173828125,921.5753173828124,910.2328519381009,910.2328519381009,37533000
2013-07-18,918.7398071289062,922.9932321619104,913.0685737515673,920.157615473241,167737500
2013-07-19,917.3217163085938,927.2463716627826,907.397060954405,925.8285637550413,60345500
2013-07-22,920.1576538085938,921.5754622119969,911.6508033881753,920.1576538085938,31681000
2013-07-23,918.7398071289062,920.157615473241,911.6507654072326,913.0685737515673,27995000
2013-07-24,911.6506958007812,915.9041205090275,908.815079328617,913.0685040368633,29174500
2013-07-25,904.5615844726562,911.6506251033197,898.8903519681255,910.232816977187,32153000
2013-07-26,871.9519653320312,891.80127836398,871.9519653320312,890.3834702902693,57365500
2013-07-29,836.506591796875,856.3559007547669,836.506591796875,852.1024774066473,63020500
2013-07-30,860.609619140625,869.1164687532176,835.089070302847,835.089070302847,59746500
2013-07-31,846.4314575195312,866.2807714312121,846.4314575195312,853.5204982022744,55333000
2013-08-01,881.8764038085938,884.7120192549237,850.6846338989651,854.9380570684599,52050500
2013-08-02,911.6506958007812,911.6506958007812,893.2191887317141,897.4726134399604,68875500
2013-08-05,901.7259521484375,921.57526556051,897.4725278458505,913.068416955336,66175000
2013-08-06,904.5615844726562,904.5615844726562,884.7122707067986,897.4725438419928,53625500
2013-08-07,883.29443359375,898.8903224694021,879.0410093549358,883.29443359375,57807000
2013-08-08,873.3696899414062,896.0546169528715,870.5340740649732,879.0409216942726,66827500
2013-08-09,874.7875366210938,887.5478086301534,871.9519206190805,879.0409606241137,46793500
2013-08-12,877.6232299804688,883.2944624843813,863.4451487206874,869.1163812245999,40905000
2013-08-13,897.4724731445312,898.8902811589776,884.7122010145142,886.1300090289606,48758000
2013-08-14,908.81494140625,910.2327494271647,896.0546692180188,905.9793253644209,48334500
2013-08-15,894.636962890625,908.8150447113957,893.219154708548,901.7260038010103,40673500
2013-08-16,891.8010864257812,898.8901252685936,879.0408165087192,880.4586242772817,40742000
2013-08-19,896.0546875,897.4724955498418,887.5478392009494,891.8012633504748,26761000
2013-08-20,873.3696899414062,893.2190010764383,871.9518820031898,888.9655772617886,54615000
2013-08-21,854.938232421875,864.8628885196414,853.5204244079083,863.4450805056747,63043000
2013-08-22,857.77392578125,864.862966490186,850.684885072314,853.5205013558884,44813500
2013-08-23,881.8764038085938,891.8010578707483,871.9517497464392,873.3695574696042,62821500
2013-08-26,880.458740234375,893.2190118319747,870.5340845473531,888.9655879661082,28214500
2013-08-27,873.3696899414062,880.4587296324892,866.2806502503234,867.69845818854,25614000
2013-08-28,853.5204467773438,857.7738709307191,847.849214572843,852.1026387262185,47679000
2013-08-29,859.1917724609375,859.1917724609375,852.1027314340321,854.9383478447943,32633500
2013-08-30,842.1780395507812,870.5342024986189,842.1780395507812,866.2807780564433,73950000
2013-09-02,850.6848754882812,856.3561079915364,846.4314511108398,847.8492592366536,26304500
2013-09-03,879.041015625,879.041015625,866.2807428175403,869.1163589969758,43804500
2013-09-04,883.29443359375,883.29443359375,869.1163527977027,871.9519689569122,30566500
2013-09-05,886.1301879882812,893.2192294921875,880.4589547851563,890.383612890625,32433500
2013-09-06,880.458740234375,891.8012038766858,874.7875084132197,890.383395921397,35019000
2013-09-09,887.548095703125,896.0549464606629,881.8768618647664,894.6371380010733,38287500
2013-09-10,893.2190551757812,893.2190551757811,886.1300150553385,891.8012471516927,30254000
2013-09-11,898.8901977539062,904.5614292854766,896.0545819881211,900.3080056367988,46510000
2013-09-12,888.9657592773438,897.4726086484188,887.5479510488312,894.6369921913938,24601000
2013-09-13,890.3833618164062,896.0545934203324,877.6230907075724,886.1299381134615,61888500
2013-09-17,884.7120971679688,894.6367521041478,883.2942893199431,893.2189442561223,24709000
2013-09-18,897.4724731445312,903.1437052023166,888.9656250578532,893.2190491011922,36348000
2013-09-19,907.3972778320312,907.3972778320312,898.8904283523559,904.5616613388062,38508000
