Date,momentum_3m,RSI_month_end,actual,predicted
2024-09-30,-0.0160291484100536,34.33140290516792,True,True
2024-10-31,-0.0630766206053117,39.0,True,True
2024-11-29,0.0024545456482678,58.088216824495746,True,True
2024-12-30,0.0762942214383504,64.9999068328768,False,True
2025-01-31,0.0338523821669014,45.689655172413794,False,True
2025-02-28,-0.052151206917809,36.9318643003095,True,True
2025-03-31,-0.0680229896060099,49.37168477305442,True,True
2025-04-30,-0.0050194806000395,65.58137719344937,True,True
2025-05-30,0.122622457673547,59.40589048442776,False,True
2025-06-06,0.0953697535784603,59.0517187515415,False,True
