Date,momentum_3m,RSI_month_end,actual,predicted
2024-09-30,0.0481973520051068,64.83515420047203,False,True
2024-10-31,0.0408986508400586,32.683686770737296,False,True
2024-11-29,-0.112615167797058,19.84132513474056,True,True
2024-12-30,-0.1280117707469074,49.78810415913503,False,True
2025-01-31,-0.1267294119017017,59.10780498760204,False,True
2025-02-28,-0.1326270881840473,28.20960930034829,False,True
2025-03-31,-0.1702195428892648,40.56133902830971,False,True
2025-04-30,-0.2039823550933291,66.63179916317992,False,True
2025-05-30,-0.0847246574665077,23.98119122257053,True,True
2025-06-06,0.0012836970474967,61.52482269503546,False,True
