Date,momentum_3d,RSI_daily,Weekly_volatility,range_ratio,actual,predicted
2023-06-06,0.0550694820990351,63.67715391319867,0.0194042983384767,0.0599795680551444,0,0
2023-06-07,0.0062203791088844,57.446807895850824,0.0194042983384767,0.0599795680551444,0,0
2023-06-08,-0.0022184278851297,57.25534154760844,0.0194042983384767,0.0599795680551444,0,0
2023-06-09,0.0007317414552963,60.97298554851538,0.0194042983384767,0.0599795680551444,0,0
2023-06-12,0.0232443985834007,77.39019957167964,0.011027099701371,0.0326828758047102,0,2
2023-06-13,0.0738637500871688,77.67859846365498,0.011027099701371,0.0326828758047102,0,0
2023-06-14,0.1260054088017328,86.38590947240888,0.011027099701371,0.0326828758047102,2,1
2023-06-15,0.1215562793509237,86.91049013951869,0.011027099701371,0.0326828758047102,2,1
2023-06-16,0.0655622471246362,87.58480519207494,0.011027099701371,0.0326828758047102,2,2
2023-06-19,-0.02467535702545,77.60142040561108,0.0286920820818471,0.1469377589152229,2,0
2023-06-20,-0.0329670696253168,80.80805495964132,0.0286920820818471,0.1469377589152229,1,0
2023-06-21,-0.0420983543873941,75.72359785749117,0.0286920820818471,0.1469377589152229,0,0
2023-06-22,-0.0055482066593597,73.52339761359845,0.0286920820818471,0.1469377589152229,0,2
2023-06-23,-0.0198305312772018,66.66668343288273,0.0286920820818471,0.1469377589152229,0,0
2023-06-26,0.0011270370846376,66.66668343288273,0.0142561552171788,0.0652875984130589,0,2
2023-06-27,-0.0015621282258051,71.45710433257211,0.0142561552171788,0.0652875984130589,0,2
2023-06-28,0.0456921596239945,74.55518146502585,0.0142561552171788,0.0652875984130589,0,2
2023-06-29,0.0335433644439615,72.63451125755276,0.0142561552171788,0.0652875984130589,0,2
2023-06-30,0.0319624216589218,72.40411470921407,0.0142561552171788,0.0652875984130589,1,2
2023-07-03,0.0110868560891885,67.00222415794582,0.0110153661388792,0.0601178437935197,2,2
2023-07-04,0.0185144676736459,54.33434442606175,0.0110153661388792,0.0601178437935197,2,2
2023-07-05,0.0140784853707442,53.24883292604333,0.0110153661388792,0.0601178437935197,2,2
2023-07-06,0.000645108173789,51.692374628036454,0.0110153661388792,0.0601178437935197,2,0
