Date,momentum_3d,RSI_daily,Weekly_volatility,range_ratio,actual,predicted
2023-06-06,0.0346755814951569,68.4210550700143,0.0134380225549037,0.0364775198377012,1,0
2023-06-07,0.0040590463964946,47.26840660418286,0.0134380225549037,0.0364775198377012,0,0
2023-06-08,-0.0346320465645684,45.22722651285014,0.0134380225549037,0.0364775198377012,0,0
2023-06-09,-0.0151351008552258,51.11561957395027,0.0134380225549037,0.0364775198377012,1,0
2023-06-12,0.0147004740037117,60.6060444394177,0.020044165039972,0.0568514127750294,1,0
2023-06-13,0.0403588393923111,66.01306487599643,0.020044165039972,0.0568514127750294,2,0
2023-06-14,0.0270764705956623,66.45160469588484,0.020044165039972,0.0568514127750294,2,0
2023-06-15,0.0105034314381455,62.63498989073046,0.020044165039972,0.0568514127750294,2,1
2023-06-16,-0.0111350170842814,60.16598825911759,0.020044165039972,0.0568514127750294,2,0
2023-06-19,-0.026006425959958,56.4948377116396,0.0105464596868696,0.0332850485631935,2,0
2023-06-20,-0.0154122245985497,62.527218491659255,0.0105464596868696,0.0332850485631935,2,0
2023-06-21,-0.0214311307154561,51.29872520226311,0.0105464596868696,0.0332850485631935,2,0
2023-06-22,-0.0270665674148029,44.658116169561275,0.0105464596868696,0.0332850485631935,2,0
2023-06-23,-0.0506005260446285,32.09612380239449,0.0105464596868696,0.0332850485631935,1,0
2023-06-26,-0.0356348420905957,30.96775766622072,0.0101928237919308,0.0667387137627858,0,2
2023-06-27,-0.035338388641753,32.50564308967019,0.0101928237919308,0.0667387137627858,0,2
2023-06-28,0.009202337447203,45.25864381516161,0.0101928237919308,0.0667387137627858,0,2
2023-06-29,0.0046189271273784,35.66432963771359,0.0101928237919308,0.0667387137627858,1,2
2023-06-30,0.0105223340610773,29.90431623581358,0.0101928237919308,0.0667387137627858,1,2
2023-07-03,0.012918028555918,37.39318017356609,0.0151642012204858,0.043511474320933,2,1
2023-07-04,0.0111111961031347,32.20340399177644,0.0151642012204858,0.043511474320933,2,1
2023-07-05,0.0266099937853234,36.610858704221926,0.0151642012204858,0.043511474320933,2,1
2023-07-06,-0.0138786061799306,36.919797764131985,0.0151642012204858,0.043511474320933,2,2
2023-07-07,-0.014399422129007,36.231880360111745,0.0151642012204858,0.043511474320933,2,1
2023-07-10,-0.0360631217823518,32.079196709605725,0.0174506315542435,0.0296992982004399,0,2
2023-07-11,-0.0357549912973693,33.54034668016591,0.0174506315542435,0.0296992982004399,0,0
2023-07-12,-0.0426759369508226,32.79351216718125,0.0174506315542435,0.0296992982004399,0,2
2023-07-13,0.0140296826932027,49.45846287454242,0.0174506315542435,0.0296992982004399,1,0
2023-07-14,0.0153845316176339,47.9020814795504,0.0174506315542435,0.0296992982004399,0,2
2023-07-18,0.0602410246785705,56.105627071767024,0.025899598797196,0.0600077737796703,1,0
2023-07-19,0.0188317034790559,51.72415181357233,0.025899598797196,0.0600077737796703,1,2
2023-07-20,0.0159285925633692,50.44248019243504,0.025899598797196,0.0600077737796703,0,1
2023-07-21,-0.0064393944698624,52.69783176027233,0.025899598797196,0.0600077737796703,1,1
2023-07-24,0.0007543065576973,48.73290338451368,0.015975634052974,0.031562747073503,1,0
2023-07-25,0.0061186585814714,49.21260816721615,0.015975634052974,0.031562747073503,0,0
2023-07-26,0.0034311306747347,46.91358650807618,0.015975634052974,0.031562747073503,1,0
2023-07-27,-0.0041461629272572,51.40390700526812,0.015975634052974,0.031562747073503,2,0
2023-07-28,-0.0087419179532848,50.74628905069595,0.015975634052974,0.031562747073503,1,0
2023-07-31,0.0117781667009568,59.918234114953094,0.0096744387335368,0.0531073487979877,2,2
2023-08-01,0.0204390142828769,66.39512346698487,0.0096744387335368,0.0531073487979877,2,2
2023-08-02,0.0149539046731932,65.85861965773024,0.0096744387335368,0.0531073487979877,2,2
2023-08-03,-0.028539298387858,48.30698493206018,0.0096744387335368,0.0531073487979877,2,2
2023-08-04,-0.04117196826592,51.31901004647611,0.0096744387335368,0.0531073487979877,2,2
2023-08-07,-0.0241783833185357,41.926282906175075,0.0189357912419097,0.0479243846531009,2,1
2023-08-08,0.0030924414967576,42.09036676423652,0.0189357912419097,0.0479243846531009,2,2
2023-08-09,0.0046419645071449,47.187454266766295,0.0189357912419097,0.0479243846531009,2,1
2023-08-10,-0.0271002420397178,36.11102466398694,0.0189357912419097,0.0479243846531009,2,2
2023-08-14,-0.0616571108999568,25.45037693324008,0.0173613759508416,0.0725428290913189,2,0
2023-08-15,-0.0589140496095235,28.30618555345042,0.0173613759508416,0.0725428290913189,2,0
2023-08-16,-0.0441702630417206,25.63556666791993,0.0173613759508416,0.0725428290913189,1,0
2023-08-17,-0.0036960396581795,27.77773833239341,0.0173613759508416,0.0725428290913189,1,2
2023-08-18,-0.0167757558741467,28.420999649224044,0.0173613759508416,0.0725428290913189,2,2
2023-08-21,-0.0008327059392609,18.91248257762571,0.0165617836831699,0.047925834707288,1,2
2023-08-22,-0.0053585857308185,14.888363723989968,0.0165617836831699,0.047925834707288,1,2
2023-08-23,0.0029131041375494,16.806751117775875,0.0165617836831699,0.047925834707288,1,2
2023-08-24,0.0012500485251336,19.73686984243325,0.0165617836831699,0.047925834707288,0,2
2023-08-25,-0.0169912745355805,18.018032021233992,0.0165617836831699,0.047925834707288,0,0
2023-08-28,-0.0041495040548508,24.512521240624096,0.0066262529667995,0.0274999794799517,0,0
2023-08-29,-0.0054098747060586,21.28846202971674,0.0066262529667995,0.0274999794799517,0,1
2023-08-30,0.0147553592607856,24.46233834039967,0.0066262529667995,0.0274999794799517,0,0
