Price,Close,High,Low,Open,Volume
Ticker,4063.T,4063.T,4063.T,4063.T,4063.T
Date,,,,,
2013-06-03,1008.7896118164062,1034.4503968546614,1005.5820136866244,1032.8465977897704,8122500
2013-06-04,1021.6200561523438,1028.0352527372877,995.9592698125674,1010.3934621286916,9687000
2013-06-05,1003.978271484375,1034.450455443166,1000.7706731729234,1031.2428571317143,10879500
2013-06-06,994.355712890625,1020.0165054813508,978.3177175214213,989.5443142798639,9505500
2013-06-07,994.355712890625,1013.6013073336693,971.9025193737399,989.5443142798639,13146500
2013-06-10,1034.450439453125,1036.05423858406,1007.1858542272287,1026.4314437984494,7159500
2013-06-11,1031.2427978515625,1044.0731903598246,1011.9972090891694,1024.8276015974316,7536500
2013-06-12,1028.03515625,1036.0541512285492,1008.7895683014821,1015.2047642843214,6094000
2013-06-13,954.260498046875,1000.7706735819328,949.4491005777311,999.1668744255514,9959000
2013-06-14,983.1285400390625,1007.1855189959726,981.5247414419351,1000.7703246074633,17421000
2013-06-17,1021.6200561523438,1021.6200561523438,967.0908851803191,973.5060817652632,5903500
2013-06-18,1018.4122314453125,1028.0350241833785,1008.7894387072466,1015.2046338659572,4446000
2013-06-19,1024.82763671875,1042.4694270222026,1013.60104288928,1039.2618287852113,8577000
2013-06-20,995.9591674804688,1023.2237501651192,995.9591674804688,1007.1857603506189,9606500
2013-06-21,1000.7705688476562,1007.1857648018079,967.0907900883601,970.2983880654359,10697500
2013-06-24,987.9400634765625,1020.0160395634639,983.1286670635274,1011.9970455417385,6160500
2013-06-25,976.7135620117188,997.5629483929213,963.8831703925172,991.1477525833205,10024500
2013-06-26,997.5630493164062,1015.204839577629,984.7326563991535,997.5630493164062,9106000
2013-06-27,1029.638916015625,1031.242714950229,1011.9971277349835,1013.6009266695872,7587000
2013-06-28,1055.299560546875,1063.3185541680518,1037.6577745802858,1042.469170752992,10126500
2013-07-01,1058.50732421875,1061.714922170928,1034.4503395774148,1053.695927290483,8004000
2013-07-02,1071.337890625,1080.9606860497754,1060.111295962762,1079.356886812313,7075500
2013-07-03,1074.545166015625,1076.1489647708722,1061.7147759736474,1074.545166015625,6508000
2013-07-04,1082.564453125,1082.564453125,1066.5264612268518,1068.1302604166667,3214500
2013-07-05,1106.6212158203125,1106.6212158203125,1085.7718305947124,1085.7718305947124,4931500
2013-07-08,1085.7718505859375,1129.074420697932,1085.7718505859375,1122.6592251257846,6555500
2013-07-09,1111.432861328125,1113.0366605508207,1090.5834714330808,1096.9986683238635,6010500
2013-07-10,1106.6212158203125,1116.2440090013586,1096.9984226392662,1113.0364112743432,4441500
2013-07-11,1103.4139404296875,1109.829137757767,1090.5835457735284,1108.2253384257472,5751500
2013-07-12,1109.8289794921875,1121.0555732153744,1100.206184872313,1100.206184872313,8425500
2013-07-16,1121.0555419921875,1127.4707382267638,1116.2441448162554,1121.0555419921875,7684000
2013-07-17,1117.8480224609375,1122.6594199751166,1106.6214282611863,1109.8290266039724,5600500
2013-07-18,1133.8858642578125,1135.4896632171587,1116.2440757050035,1117.8478746643498,20311500
2013-07-19,1106.6212158203125,1138.6971930904665,1098.602221502774,1135.489595363451,9053000
2013-07-22,1105.017578125,1117.8479709043904,1092.1871853456096,1114.6403727095428,5573500
2013-07-23,1116.244140625,1119.4517387302442,1095.3947529409124,1098.6023510461566,4474000
2013-07-24,1109.8289794921875,1111.4327785955,1095.3947875623758,1108.225180388875,6885000
2013-07-25,1064.9228515625,1116.2444347703313,1053.6962552357868,1108.2254373941078,17481000
2013-07-26,1061.7149658203125,1080.9605543246082,1060.111166778288,1079.3567552825837,11251000
2013-07-29,995.9591674804688,1024.8275491465693,994.3553684990187,1013.6009562764191,11999500
2013-07-30,987.9400634765625,1005.5818503243582,984.7324658678724,992.7514598895978,9735500
2013-07-31,981.5252075195312,987.9404049542994,967.0910132913028,979.9214081608392,8963000
2013-08-01,1015.2050170898438,1026.43161285545,999.1670231389774,1023.224014065277,11968000
2013-08-02,1048.8843994140625,1050.488198189925,1023.2236190002628,1042.4692043106127,7453000
2013-08-05,1031.2427978515625,1037.6579941056934,1018.4124053433004,1037.6579941056934,5142000
2013-08-06,1047.281005859375,1047.281005859375,1018.4126167238945,1032.8468112916348,6811000
2013-08-07,1003.978271484375,1029.6390579759884,1002.3744723286492,1020.0162630416334,8308500
2013-08-08,997.5630493164062,1024.8276342655686,994.3554510870931,997.5630493164062,6153500
2013-08-09,999.1666870117188,1010.3932790006144,994.355290445049,997.5628881561621,7663500
2013-08-12,1002.3743896484375,1010.393384765625,989.5439974609375,992.7515955078125,3928000
2013-08-13,1021.6200561523438,1023.2238552985797,1005.5820646899836,1015.2048595673996,4315500
2013-08-14,1024.82763671875,1024.82763671875,1007.1858464152973,1020.0162393632629,4651500
2013-08-15,1000.7705688476562,1020.0161567101112,995.9591718820426,1008.7895637903458,5113500
2013-08-16,987.9400634765625,994.3552586939428,981.5248682591823,983.1286670635274,3878500
2013-08-19,989.5440673828125,991.1478665195756,978.317473425471,986.3364691092863,3728000
2013-08-20,970.2984619140625,992.7516494624871,970.2984619140625,979.921256577673,6797000
2013-08-21,962.2794799804688,975.109873046875,957.4680825805664,970.2984756469726,7246000
2013-08-22,963.8832397460938,970.2984360172824,955.8642444071079,962.2794406782966,4941500
2013-08-23,975.1094970703125,983.1284896449039,970.2981015255577,971.901900040476,7984000
2013-08-26,963.8832397460938,981.5250294918625,960.6756416104994,976.713632288471,4943000
2013-08-27,957.4677734375,968.6943637458124,954.2601762065536,957.4677734375,5463000
2013-08-28,943.033935546875,946.2415339671026,925.392144235624,930.2035418659651,7318000
2013-08-29,968.6944580078125,971.9020555508848,943.0336776632347,943.0336776632347,6808500
2013-08-30,951.052978515625,983.1289643003004,946.2415806479237,978.317566432599,7225000
2013-09-02,951.052978515625,957.46817567256,943.0339820694561,952.6567778048587,4197000
